school,cf
Università di ROMA,GNRVGN99A31H501J
Università di ROMA,GNRSNN01B06H501U
Università di ROMA,GNRMRC99A13H501N
Università di ROMA,TSTGTN04T09H501J
Università di ROMA,CRLFMN94S20H501S
Università di ROMA,CRLGTN98L21H501K
Università di ROMA,CRLLNE02L03H501R
Università di ROMA,CRLZNE00D01H501Z
Università di ROMA,PLMNEE92L08H501U
Università di ROMA,TRTFST95A16H501O
Università di ROMA,TRTNVE97M25H501X
Università di ROMA,TRTTMS94B14H501Z
Università di ROMA,TRTDVG94H27H501P
Università di ROMA,TRTDNI94C08H501P
Università di ROMA,TRTSST96E14H501E
Università di ROMA,LUIDLZ89S13H501N
Università di ROMA,RFFGVR99A14H501Q
Università di ROMA,RFFRMN00T30H501J
Università di ROMA,SGRFBL06M22H501Q
Università di ROMA,SGRRNN06C16H501U
Università di ROMA,SGRFRC02T26H501R
Università di ROMA,SGRTZN05R30H501P
Università di ROMA,SGRMRG05E28H501E
Università di ROMA,BRSRND98R24H501H
Università di AOSTA,BRGGDN04M23A326K
Università di AOSTA,PRSRST98S21A326R
Università di AOSTA,PRSTVN00B23A326E
Università di AOSTA,PRSLRC00H26A326I
Università di AOSTA,PRSJCP00L18A326G
Università di AOSTA,VGRSFN06A19A326S
Università di AOSTA,GNVRMN03E20A326W
Università di AOSTA,GNVDRN03S16A326O
Università di AOSTA,GNVVEA06C19A326W
Università di AOSTA,GNVSRN98L31A326H
Università di AOSTA,GRNFBN04P20A326B
Università di AOSTA,SCTVCN90E01A326R
Università di ORISTANO,FLNRSL00P06G113N
Università di ORISTANO,FLNLPA01B04G113F
Università di ORISTANO,FLNFDL02A26G113Y
Università di ORISTANO,RRQLLL01B25G113K
Università di ORISTANO,RRQDRN02P16G113N
Università di ORISTANO,RRQCRI02P30G113V
Università di ORISTANO,RRQRRT00R14G113E
Università di ORISTANO,RRQVTT06E01G113L
Università di ORISTANO,RRQVIO06P24G113Q
Università di ORISTANO,RRQFLV06R09G113H
Università di ORISTANO,RRQYNN03S18G113I
Università di ORISTANO,RRQSDR04C18G113N
Università di ORISTANO,CBLRZO00A12G113I
Università di ORISTANO,CRRNTN99A19G113H
Università di ORISTANO,CRRSMN00D24G113I
Università di ORISTANO,MGNDLA94P10G113R
Università di ORISTANO,MLLVTR95P04G113H
Università di ORISTANO,MLLWNN98H18G113M
Università di ORISTANO,MLLVNT94L12G113M
Università di ORISTANO,MLLLFA95S24G113Q
Università di ORISTANO,FLLFNC89T29G113E
Università di ORISTANO,FLLFBN88T11G113Y
Università di ORISTANO,RGRPLG01L07G113G
Università di ORISTANO,RGRCNN01H19G113I
Università di ORISTANO,RCIPTR06B19G113O
Università di ORISTANO,CRMSNT99L09G113K
Università di ORISTANO,CRMMHL00A08G113L
Università di CARBONIA,FLNGNN01D22B745E
Università di CARBONIA,FLNCSR01M05B745N
Università di CARBONIA,FLNRZO99S24B745E
Università di CARBONIA,FLNMLD01P27B745S
Università di CARBONIA,FLNLVO95M26B745T
Università di CARBONIA,FLNRMN95S13B745R
Università di CARBONIA,FVAFRC06E01B745X
Università di CARBONIA,FVABRM04M10B745M
Università di CARBONIA,FVAFNC04L22B745J
Università di CARBONIA,CBLLND04P01B745J
Università di CARBONIA,CBLLSU04E30B745C
Università di CARBONIA,CBLCDD03A21B745M
Università di CARBONIA,GRNRND02A11B745C
Università di CARBONIA,GRNPNI02A26B745V
Università di CARBONIA,TRZGNI92L25B745J
Università di CARBONIA,SRGLGO92A18B745H
Università di CARBONIA,DTLCSR98P10B745A
Università di CARBONIA,RGRLVN94P02B745U
Università di CARBONIA,RGRCCT94P03B745O
Università di OLBIA,RRQCAI90S20G015V
Università di OLBIA,FVAGVR05T09G015A
Università di OLBIA,FCCMDA01R02G015X
Università di OLBIA,VLLVGL04A23G015E
Università di OLBIA,VLLDLD03H25G015O
Università di MONZA,BIASMN02T29F704Z
Università di MONZA,BIAMTA03P24F704G
Università di MONZA,DRSTST03H23F704R
Università di MONZA,DRSMDE03T16F704U
Università di MONZA,DRSFNC04D03F704J
Università di MONZA,DRSLDA05C12F704Y
Università di MONZA,PLNNTN99T20F704W
Università di MONZA,DLCMRZ05C27F704Z
Università di MONZA,DLCMLE05R29F704H
Università di MONZA,DLCRML05E29F704I
Università di MONZA,CRSVTR05T03F704O
Università di MONZA,CRSGRN06E17F704W
Università di MONZA,CRSRNR05P19F704U
Università di MONZA,CRSNNZ03R23F704O
Università di MONZA,CRSNTA06C24F704L
Università di MONZA,CCCNSC96C30F704C
Università di MONZA,CCCPLG96A02F704X
Università di MONZA,TRVMRM06H01F704Y
Università di MONZA,TRVNVE06L19F704C
Università di MONZA,TRVCLL04B10F704S
Università di MONZA,RMAMLA03A13F704D
Università di MONZA,RMALPA04C26F704P
Università di MONZA,RGRLSN01P27F704J
Università di MONZA,RGRFDL99C23F704Q
Università di MONZA,FRNMSC01R10F704P
Università di MONZA,CRSDNI89D30F704F
Università di MONZA,RBNRST93D22F704Q
Università di MONZA,RBNRSM91T23F704Q
Università di MONZA,NVRVND04P14F704M
Università di MONZA,NVRPMP05M23F704F
Università di MONZA,LNZSCN06M04F704L
Università di MONZA,LNZMGH04L16F704A
Università di MONZA,LNZGAI02S23F704G
Università di MONZA,LNZLNE00L26F704Y
Università di MONZA,LNZLBT99L07F704W
Università di MONZA,VLZLRD95L14F704H
Università di MONZA,CHRLBN94E24F704Q
Università di MONZA,MSTFMN05S02F704K
Università di MONZA,MSTFPP03A31F704I
Università di MONZA,MSTSLV03T08F704F
Università di IMPERIA,SGRVDN95H10E290B
Università di IMPERIA,SGRFTM98D11E290J
Università di IMPERIA,SGRSMN96C12E290C
Università di IMPERIA,SGRLSS96S30E290Z
Università di IMPERIA,SGRGRG98A16E290H
Università di IMPERIA,CVGMLT04A16E290N
Università di IMPERIA,CVGFCT06P01E290V
Università di IMPERIA,CVGVTR04A04E290X
Università di IMPERIA,BFLVNT89B07E290D
Università di IMPERIA,ZRBNTN99M06E290G
Università di IMPERIA,ZRBBRC00M09E290G
Università di IMPERIA,LNURZR99E25E290H
Università di IMPERIA,TZZMLL95L29E290F
Università di IMPERIA,TZZLSN95T07E290S
Università di IMPERIA,LNUMRA02P07E290R
Università di IMPERIA,LNUGRT02A17E290D
Università di IMPERIA,GRNLDN03P24E290Q
Università di IMPERIA,GRNCMB05A17E290N
Università di IMPERIA,GRNSRI06P20E290O
Università di IMPERIA,GGGCRI96H16E290D
Università di IMPERIA,GGGLRT93T05E290O
Università di IMPERIA,SNTLRC97P15E290U
Università di IMPERIA,SNTCSR95D24E290D
Università di IMPERIA,SNTGBB96M02E290L
Università di IMPERIA,SNTZRA97R12E290D
Università di IMPERIA,BRBLNZ06A10E290Y
Università di IMPERIA,PCRSDR05C17E290Z
Università di IMPERIA,PCRRST04T17E290N
Università di IMPERIA,MNTDLD90A14E290C
Università di CUNEO,PRSLCU97L01D205R
Università di CUNEO,PRSGMN98R13D205F
Università di CUNEO,PRSCLD97S25D205N
Università di CUNEO,PRSRNN98L20D205J
Università di CUNEO,GRNLTR00E26D205M
Università di CUNEO,NSTSVG94T23D205Z
Università di CUNEO,NSTRMN97T11D205I
Università di CUNEO,NSTLFA93T10D205H
Università di CUNEO,NSTDRN97T11D205K
Università di CUNEO,NSTLNE98D18D205I
Università di CUNEO,RCCNNZ99L18D205S
Università di CUNEO,RCCWND01L03D205Q
Università di CUNEO,RCCCSM98T26D205S
Università di CUNEO,RCCSML00D08D205G
Università di CUNEO,GDNFPP03R15D205E
Università di CUNEO,PRSMRG03A28D205B
Università di CUNEO,PRSPTR04A03D205I
Università di CUNEO,PRSPPN05H25D205S
Università di CUNEO,BRTCSR00S01D205S
Università di L'AQUILA,TLORMO93P30A345K
Università di L'AQUILA,BNMLCA99R09A345A
Università di L'AQUILA,BNMMRG01E22A345V
Università di L'AQUILA,BNMCRI02H05A345C
Università di L'AQUILA,BNMGDI99P14A345P
Università di L'AQUILA,BNMGUO00A25A345E
Università di L'AQUILA,BNMSML02D11A345J
Università di L'AQUILA,PLSCHR97R18A345M
Università di L'AQUILA,PLSSNN94T02A345P
Università di L'AQUILA,FCCNRO04P05A345W
Università di L'AQUILA,FNCNLT96A25A345E
Università di L'AQUILA,CHRFNC97H24A345X
Università di L'AQUILA,SLVDGS01H08A345B
Università di L'AQUILA,SLVLVC99H12A345D
Università di L'AQUILA,BRSLRT04T11A345H
Università di L'AQUILA,BRSNTN04L26A345P
Università di L'AQUILA,BRSMDE03H03A345A
Università di L'AQUILA,BRSCTN06M06A345S
Università di L'AQUILA,STRNSC95B03A345T
Università di L'AQUILA,STRLRN97S12A345L
Università di L'AQUILA,STRDRO97H20A345G
Università di CALTANISSETTA,ZNCVCN88T27B429R
Università di CALTANISSETTA,ZNCLND89A09B429C
Università di CALTANISSETTA,DSTSML01B11B429S
Università di CALTANISSETTA,CVNRCC03R29B429I
Università di CALTANISSETTA,RSGGNT04H12B429R
Università di CALTANISSETTA,RSGMAI00R20B429D
Università di CALTANISSETTA,PRNFLR06B14B429M
Università di CALTANISSETTA,TSTPIO99H23B429B
Università di CALTANISSETTA,DMCVEA01L17B429H
Università di CALTANISSETTA,CPRFNC99B20B429R
Università di CALTANISSETTA,BRDVLR99R21B429J
Università di CALTANISSETTA,CRTRNN95R18B429R
Università di CALTANISSETTA,TDSFCT03C11B429X
Università di CALTANISSETTA,TDSMRC03E21B429V
Università di CALTANISSETTA,TDSCDD05L13B429O
Università di CALTANISSETTA,DRASNT97S27B429S
Università di CALTANISSETTA,DRANSC97C07B429F
Università di BERGAMO,BIACRN93E13A794E
Università di BERGAMO,BIAYLN92D23A794U
Università di BERGAMO,BIABBR91T26A794L
Università di BERGAMO,TGLMLE04B11A794H
Università di BERGAMO,DRLVNT00B15A794I
Università di BERGAMO,PGNSLD00S15A794M
Università di BERGAMO,PGNNRO99B23A794I
Università di BERGAMO,ZDRGDN00M07A794B
Università di BERGAMO,ZDRVTR02H19A794H
Università di BERGAMO,ZDRNRO99L26A794Z
Università di BERGAMO,ZDRCLL99A27A794G
Università di BERGAMO,DMCRNN01M03A794G
Università di BERGAMO,DMCGTN00D17A794O
Università di BERGAMO,DMCFNC00L18A794H
Università di BERGAMO,DMCLSI99C23A794E
Università di BERGAMO,PDNCPI01M12A794W
Università di BERGAMO,BNDDRN94H30A794V
Università di BERGAMO,CHRLFA97H23A794D
Università di BERGAMO,BGNCCL95P23A794N
Università di BERGAMO,BGNMRC96E08A794I
Università di BERGAMO,BGNVTR94P21A794N
Università di CROTONE,SLLSLM95R01D122B
Università di CROTONE,BLLSTN03B03D122D
Università di CROTONE,BLLMBR99C03D122S
Università di CROTONE,MFFDMN89B18D122Y
Università di CROTONE,MSCFLV97S26D122I
Università di CROTONE,MSCRSL98A14D122B
Università di CROTONE,CPRMLN91T22D122G
Università di CROTONE,CPRBDT99R13D122H
Università di CROTONE,CPRSRN01P04D122N
Università di CROTONE,CPRLCU99M05D122F
Università di CROTONE,CPRGUO00E03D122N
Università di CROTONE,CNTSNT00L20D122D
Università di CROTONE,CNTGUO01S20D122R
Università di CROTONE,CNTRLF01P16D122L
Università di CROTONE,CNTLCI99D29D122W
Università di RAGUSA,ZNCGST97D25H163S
Università di RAGUSA,ZNCSLL02C04H163H
Università di RAGUSA,ZNCBGD01P16H163X
Università di RAGUSA,CRNRNR02D22H163D
Università di RAGUSA,CRNBGD01E06H163D
Università di RAGUSA,FFNGCH89P06H163S
Università di RAGUSA,FFNFTN90P24H163V
Università di RAGUSA,ZDRDLR03A18H163Z
Università di RAGUSA,ZDRRND06A13H163G
Università di RAGUSA,ZDRRSR04S13H163V
Università di RAGUSA,ZDRQRN03L09H163Q
Università di RAGUSA,MRNLRT03P24H163B
Università di RAGUSA,MRNGRG05S16H163Z
Università di BARI,DMCPRZ02L26A662S
Università di BARI,DMCSFN02C18A662S
Università di BARI,DMCFRZ01E19A662R
Università di BARI,DMCMRO01T26A662N
Università di BARI,DMCDVD02P01A662U
Università di BARI,BNMNTN00R04A662L
Università di BARI,BNMDNI01B17A662E
Università di BARI,BNMYNN99A16A662F
Università di BARI,GGGPPP96T25A662V
Università di BARI,GGGGTN94E20A662C
Università di BARI,CHRTMS95D21A662G
Università di BARI,PDSDLM99E16A662O
Università di BARI,NDENTL98D20A662F
Università di BARI,NDEMRT95E15A662Q
Università di BARI,NDEGAI97C25A662R
Università di BARI,BLDDNT95S24A662F
Università di BARI,BLDSRI97S26A662F
Università di GENOVA,SGRLLL00C22D969M
Università di GENOVA,SGRMRG98T26D969H
Università di GENOVA,CVGZEI99R04D969Z
Università di GENOVA,CVGDLR01D08D969O
Università di GENOVA,PJUCLL02T01D969J
Università di GENOVA,PJULNS05S30D969U
Università di GENOVA,PJUPCR05S25D969T
Università di GENOVA,PJUPML05S29D969I
Università di GENOVA,LNUCLL03S13D969V
Università di GENOVA,LNURRT05P13D969P
Università di GENOVA,CCCPLL04M12D969S
Università di GENOVA,CCCNTN05B08D969Y
Università di GENOVA,CCCDAA06P11D969A
Università di GENOVA,CCCSLN05S25D969B
Università di GENOVA,CCCGUO03B28D969U
Università di GENOVA,MRNVTR99E02D969U
Università di GENOVA,MRNLBN02D07D969B
Università di GENOVA,MRNFBL99H27D969G
Università di POTENZA,CLAFPP00M30G942V
Università di POTENZA,CLAPSC99T12G942C
Università di POTENZA,CLAGZZ99D26G942F
