plate,manifacturer,model,last_revision,insurance_expiration,is_stolen,owner
SB085DM,Nissan,X-Trail,2023-01-16,2023-03-08,False,CLLPRI51H18A669O
AR932ET,Volkswagen,Polo,2023-07-15,2025-07-09,False,BIALRT50R19A794V
BH078VG,Kia,Rio,2022-06-12,2025-10-10,False,TLOGRG50R29A662W
YD327WA,Peugeot,308,2024-08-02,2024-01-17,False,CLFLRZ49H08D223O
WF782CI,Peugeot,208,2023-10-30,2025-11-05,False,BRGNLN51D26E648M
UK325VK,Fiat,500,2024-06-11,2025-01-07,False,ZNCFPP51C30H163D
TD178SY,Jeep,Wrangler,2024-01-20,2025-12-09,False,SLMCRI50S08C351N
HB378QU,Audi,A3,2023-01-21,2022-10-30,False,PRSLRN51A21E290W
KX542BI,Nissan,Qashqai,2024-07-01,2025-09-03,False,BSSLRI50M28A479Q
WQ798DO,Peugeot,208,2024-06-13,2024-12-29,False,ZMPMRO51L02F704W
LX761SK,Ford,Mustang,2023-05-28,2025-04-24,False,SCTMLL49D26G113H
OU544RE,Alfa Romeo,Giulia,2024-05-28,2025-07-08,True,BSSLBT52T03H501M
DG909CB,Ford,Mustang,2023-12-30,2025-05-19,False,STRWLM50A18L781R
EW919UK,Ford,Mustang,2023-12-11,2024-03-20,False,BSCTTO51S02G888X
MI774XK,Subaru,Impreza,2024-03-08,2025-07-15,False,SCRNNZ50D13A662E
LT489TL,Ford,Mustang,2024-08-12,2025-07-04,False,BNDCRL50E17L103V
CL989RF,BMW,Serie 5,2023-07-16,2024-07-22,False,CSLSST50D14A390T
EE268CK,Peugeot,308,2023-09-28,2025-08-05,False,PRSNBR49S14D205T
VE700BM,Subaru,Outback,2024-01-09,2022-11-22,False,NTRNSC51B24H703A
VZ429WY,Renault,Mégane,2023-03-07,2025-06-24,False,QGLMRA49M16G113Y
DA882FO,Fiat,500,2024-12-17,2025-01-24,False,LPRSLN51A18D542S
QM816DF,Subaru,Outback,2024-12-13,2025-11-18,False,SLLVLR48S15B963R
UL059BG,Toyota,Corolla,2023-02-05,2025-07-20,False,SLLRLF55T29B519O
IK893DE,Peugeot,208,2022-06-15,2025-10-02,False,MSCDAA51B25A794F
CD387EN,Toyota,Land Cruiser,2024-11-30,2025-11-30,False,CVTZRA61E05D223Y
NH383DO,Volkswagen,Polo,2024-05-10,2025-01-13,False,BSZLNI59M28E507T
VJ871BK,Peugeot,208,2024-03-10,2025-01-20,False,PCCVNT55R29A089T
GS725CG,Subaru,Forester,2023-07-08,2025-04-24,False,SGRQRN57P05D969U
QJ603PZ,Volvo,XC90,2024-07-28,2024-08-13,False,DMCLVI50T07F205Q
LF316MC,BMW,Serie 3,2024-12-22,2025-10-05,False,GNRLLL54L22H501G
YG038MC,Chevrolet,Camaro,2024-09-09,2025-03-08,False,CTRCLL51D24A944L
DO863VO,Honda,Civic,2022-11-19,2025-07-09,False,ZRZLRZ53R18D086W
UD040UQ,Mazda,Mazda3,2023-06-27,2025-04-19,False,CLFRKE56H07G388P
CM551KC,Hyundai,Elantra,2023-05-28,2024-05-29,False,CRNTTO44C25B180C
KO325FJ,Ford,Focus,2024-08-02,2025-01-25,False,CLLVCN79L23E506A
PZ024LQ,Hyundai,Elantra,2023-05-04,2025-02-18,False,CLLGLL83M06E506Y
CD140PG,Jeep,Wrangler,2023-02-19,2023-12-14,False,CLLMNZ80S01E506K
NO339CC,Peugeot,208,2024-02-10,2025-04-17,False,CLLVGN79A10E506A
ZN834EN,Kia,Sorento,2024-10-26,2025-01-08,False,CLLFNC79C05E506T
AB842QN,Chevrolet,Camaro,2024-03-06,2025-08-31,False,CLLGVR79E08E506J
EF275LI,Jeep,Renegade,2024-02-19,2025-07-02,False,CLLPLG79E09E506D
NR080TP,Peugeot,3008,2024-09-16,2025-10-15,False,FLNRRG76C28B745D
OM372NY,Nissan,X-Trail,2024-08-01,2024-01-17,False,FLNRGR76C20B745D
NZ031LB,Alfa Romeo,Giulietta,2024-11-07,2025-12-05,False,FLNMRN75R22B745T
AJ469II,Hyundai,Sonata,2023-05-19,2025-08-01,False,FLNNBR76D05B745W
WY327AQ,Mercedes-Benz,Classe C,2024-12-10,2024-11-19,False,SLLZOE76E22B519M
WK079EM,Fiat,500,2024-07-13,2025-11-03,False,BIAMRN68T04A794T
RW356RA,Fiat,Panda,2024-07-14,2025-11-29,False,BIAGLN73S05A794I
ZT709MT,Audi,A3,2024-06-09,2023-01-24,False,BIANLN69D12A794H
JI895JU,BMW,X5,2023-03-15,2025-01-29,False,BIARNI70R10A794M
KL243LD,Jeep,Renegade,2024-07-23,2022-08-02,False,BIALRC73R27A794I
ZK832NE,Renault,Mégane,2023-05-21,2025-05-14,False,BIALMO73P17A794Y
VB559PZ,Peugeot,3008,2024-06-16,2025-12-04,False,TLONTN71R18A662S
CZ497IU,Kia,Rio,2024-01-22,2025-11-22,False,CLFSNL83L29D223O
KM293LG,Nissan,X-Trail,2023-03-24,2025-12-21,False,BRGNBL78S23D150H
AG488NX,Audi,A3,2023-02-28,2022-03-21,False,BRGMMM83H07D150J
LD054WJ,Fiat,Panda,2023-07-21,2025-11-27,False,BRGPRL79T10D150N
WY018QP,Hyundai,Tucson,2024-02-13,2025-07-22,False,BRGGPP81A07D150Z
MA883XA,Volkswagen,Passat,2024-03-19,2025-01-07,False,BRGLLD82D29D150G
ZE213XJ,Ford,Fiesta,2024-06-29,2022-11-22,False,BRGRNL80E23D150W
JH439UW,Subaru,Forester,2024-06-14,2024-08-13,False,BRGTST81D29D150L
YH478PR,Toyota,Yaris,2021-05-18,2025-12-18,False,ZNCBRM71B24H163H
GF417KE,Chevrolet,Malibu,2024-02-18,2025-01-24,False,ZNCMRA69B12H163H
IY475ZL,Chevrolet,Silverado,2021-06-15,2025-03-07,False,ZNCCST73B24H163V
ZY058AJ,Nissan,Micra,2024-12-18,2022-01-27,False,SLMLGR75L31C351X
XJ408KF,Toyota,Yaris,2023-12-27,2025-06-21,False,SGRGRL73T01E290A
PO433OX,Hyundai,Tucson,2023-06-28,2025-05-23,False,SGRRGR77E18E290R
HX991YE,Toyota,Yaris,2023-09-09,2025-01-16,False,SGRNCL75B12E290Y
KV864GP,Fiat,500,2023-09-17,2025-06-19,False,SGRMRN78C27E290X
WK742TA,BMW,Serie 3,2024-10-10,2025-05-02,False,SGRBNR76B12E290I
FW526DO,Peugeot,208,2024-12-20,2025-09-04,False,SGRVNT75T27E290E
PT777TW,Chevrolet,Silverado,2023-05-28,2025-02-24,False,SGRLRZ77A19E290G
UQ272KO,Volkswagen,Golf,2024-11-13,2023-07-07,False,SGRGAI76H20E290Z
QZ067PP,Mazda,Mazda3,2023-02-07,2025-07-22,False,SGRSCR74E12E290R
LE269HW,Peugeot,208,2024-10-26,2025-11-16,False,GHNSFO69C17A479P
MD490IN,Mazda,Mazda3,2024-11-28,2025-04-11,False,GHNLNU70A06A479H
MW436PG,Mazda,CX-5,2024-01-22,2025-09-26,False,DMCGNR70A23D122A
VT245ML,Chevrolet,Malibu,2024-08-23,2025-10-01,False,DMCRLN69M10D122I
QZ292AH,Chevrolet,Silverado,2024-03-14,2025-03-10,False,DMCBLD72L03D122U
FP651IO,Volkswagen,Golf,2023-11-29,2024-05-19,False,DMCNNZ73S08D122N
VF573DH,Mazda,Mazda3,2023-12-05,2025-10-02,False,DMCSNT68T19D122U
SW962QC,Audi,Q5,2024-11-24,2025-05-02,False,DMCMDA71M06D122A
TR298RE,Volkswagen,Passat,2023-02-09,2025-05-18,False,DMCPLL70D22D122R
NW062GV,Peugeot,208,2023-04-26,2025-10-10,False,DMCRFL72M17D122A
CN511OO,Mazda,Mazda3,2023-06-30,2025-06-21,True,RRQPRL70L05G113J
ME192KD,Toyota,Land Cruiser,2024-11-26,2023-02-24,False,RRQPCR69R20G113N
WU326EA,Honda,Civic,2022-10-22,2024-06-09,False,RRQVGN70R15G113D
MO342XP,Honda,CR-V,2024-06-04,2025-07-21,False,RRQCVN72B26G113C
QF617PJ,Mazda,Mazda6,2023-02-17,2025-03-16,False,RRQMRA69C07G113H
SC909JT,Ford,Fiesta,2024-04-01,2025-02-09,False,RRQLBN71C21G113Q
VN546GZ,Mercedes-Benz,Classe C,2024-09-28,2025-10-27,False,GNRLNE77H01H501C
LT376SB,Subaru,Forester,2024-10-31,2025-11-26,False,GNRVTR77P21H501H
WC285LM,Nissan,Qashqai,2024-09-16,2025-02-17,False,GNRTDD76M23H501F
OQ769VQ,Chevrolet,Silverado,2023-05-12,2024-12-30,False,GNRLNS78E31H501M
YK044WJ,Volvo,S60,2023-04-20,2025-06-17,False,GNRNLN74A17H501W
EA924YF,Mercedes-Benz,Classe A,2024-11-08,2025-06-26,False,GNRCSR78P19H501H
IR305EJ,Kia,Sportage,2024-04-16,2025-04-23,False,GNRSNO75R16H501Y
DA052UF,Honda,Accord,2024-02-21,2025-11-24,False,GNRCLD78H28H501Y
RH005SK,BMW,Serie 3,2024-11-14,2022-09-19,False,CVGLRC80R17D969C
FH831GW,Peugeot,3008,2024-10-11,2025-12-27,True,CVGRHL82B23D969L
ME449MK,BMW,Serie 5,2024-01-07,2025-01-04,False,CVGDTR83B21D969U
FP863NJ,BMW,Serie 5,2023-05-04,2025-09-30,False,CVGCST78T30D969M
ZF988MB,Kia,Rio,2024-02-03,2025-07-26,False,CVGCTL82R25D969H
UL435CD,Mercedes-Benz,Classe A,2023-06-03,2022-06-11,False,CVGMRA82L08D969A
BT049BK,Toyota,Corolla,2023-11-17,2025-05-22,False,CVGMRC83R27D969H
YN281VN,Ford,Focus,2024-11-22,2025-10-06,False,BSCSLV70E10L483Z
SK128LR,Kia,Sorento,2023-04-06,2025-01-02,False,ZRZDLM72M23L328L
KF233JD,Renault,Clio,2024-04-30,2024-11-08,False,ZRZVTR73R20L328D
PE208HW,Ford,Mustang,2024-09-12,2025-04-12,False,ZRZVTR69R10L328G
FC997MG,Nissan,Qashqai,2024-12-27,2025-01-15,False,ZRZGUO71H29L328O
LX418AT,Jeep,Renegade,2023-04-28,2025-04-16,False,CLARNR73P17F537U
CE493JR,Mercedes-Benz,Classe E,2024-05-10,2025-01-20,False,CLAMRN68T17F537N
YE372NO,Jeep,Compass,2023-04-04,2023-08-06,False,CLACNZ73C14F537H
RR035CK,Subaru,Forester,2023-10-01,2025-02-25,False,CLACTL71L15F537O
XH645EN,Subaru,Forester,2024-11-03,2024-01-09,False,CLAGPR70A21F537X
ZT495RR,Ford,Focus,2023-06-02,2024-04-03,False,CLASST69B16F537O
CD570WC,Volvo,XC90,2023-03-19,2025-06-21,False,CLAPMP73P27F537P
UA591WA,Chevrolet,Silverado,2024-02-23,2025-01-04,False,PRSRNI77P05D205I
DQ913VM,Volkswagen,Passat,2024-10-04,2025-08-07,False,PRSGMN75R09D205L
RZ121BM,BMW,Serie 3,2023-02-24,2025-08-04,False,PRSMRG75R28D205A
OY425WO,Renault,Mégane,2024-08-28,2025-10-08,False,PRSPSQ76S01D205B
QM709MI,Peugeot,208,2023-05-11,2025-06-04,False,PRSCML74T29D205M
FR958JX,Nissan,Micra,2022-07-24,2025-03-25,False,PRSSRI73S27D205I
TH532LF,Jeep,Renegade,2023-04-19,2022-09-01,False,ZLLVTT69A28B963R
OA849NU,Audi,A3,2023-05-11,2025-11-03,False,ZLLLMP69M25B963S
IS459OK,Mercedes-Benz,Classe E,2023-06-29,2025-12-15,False,ZLLPRI71L19B963S
UN056DT,Honda,CR-V,2023-11-04,2025-05-06,False,CRNLVN72D17B963Z
AI225RQ,Subaru,Impreza,2023-12-18,2025-01-05,True,GNRVGN99A31H501J
VJ659PR,Toyota,Land Cruiser,2023-04-17,2025-11-21,False,GNRSNN01B06H501U
KT702MS,Volvo,V90,2024-05-04,2024-01-25,False,GNRCDD02M29H501I
AP762AE,Chevrolet,Silverado,2024-07-26,2025-07-18,False,BRGGDN04M23A326K
SL968RS,Mercedes-Benz,Classe E,2024-02-08,2025-04-22,False,FLNRSL00P06G113N
MH394MO,Mazda,Mazda3,2024-08-18,2025-10-29,False,FLNLPA01B04G113F
NL218QE,Volkswagen,Passat,2024-05-22,2025-10-31,False,FLNNNA00L27B745G
GI727MV,Nissan,Qashqai,2024-09-26,2023-02-09,False,FLNGNN01D22B745E
BL486UV,Chevrolet,Camaro,2023-04-16,2025-09-09,False,FLNCSR01M05B745N
FT091ZV,Kia,Rio,2023-07-26,2023-08-05,False,FLNRZO99S24B745E
HR042AW,Nissan,X-Trail,2023-05-14,2025-03-21,False,FLNMLD01P27B745S
LQ918OI,Alfa Romeo,Giulia,2024-04-25,2025-02-01,False,GNRCLD96A05H501C
HB195OY,Alfa Romeo,Giulia,2023-09-23,2025-08-26,False,GNRBNL97L19H501M
GT652SE,Jeep,Wrangler,2023-04-04,2025-11-01,False,GNRSDR97M30H501S
XV836PW,Jeep,Compass,2023-11-16,2025-06-24,False,RRQCRL94A16G113E
EK016JI,Hyundai,Tucson,2023-05-13,2025-07-06,False,RRQLRT91T19G015S
WY924CC,Chevrolet,Silverado,2024-10-03,2025-02-14,False,RRQGTR89B10G015P
QP890SL,Volvo,XC90,2024-01-16,2025-07-11,False,BIAGTT06P19F704H
RJ152CO,Kia,Sorento,2022-09-09,2024-09-25,False,BIAMTA03P24F704G
SZ003CJ,Toyota,Corolla,2024-02-20,2024-07-29,False,BIAPLM05D26F704X
MS537CQ,Fiat,500,2022-11-23,2025-08-27,False,SGRSFO98H21E290I
PY218MO,Renault,Clio,2024-08-26,2025-04-24,False,SGRVDN95H10E290B
GM852IT,Volvo,V90,2024-02-16,2025-11-23,False,SGRSFN94D23E290A
PL026JD,Mazda,Mazda6,2022-10-25,2025-04-09,False,SGRGNN95C29E290I
EA446WZ,Honda,Civic,2023-12-29,2025-01-14,False,SGRLDR96M06E290K
LT733CL,Hyundai,Elantra,2024-05-16,2022-10-26,False,RRQLLL01B25G113K
NA484PM,Volkswagen,Golf,2022-10-15,2024-10-23,False,RRQDRN02P16G113N
HU776UD,Peugeot,308,2024-09-16,2025-02-03,False,RRQRRT00R14G113E
OU119RF,Volkswagen,Polo,2023-03-17,2024-11-09,False,RRQBNL00T24G113Z
SP711BV,Chevrolet,Camaro,2022-02-23,2025-03-20,False,RRQTVN06R30G113C
YJ306PL,Kia,Sportage,2024-03-27,2025-12-12,False,RRQVTT06E01G113L
IU809JB,Honda,Civic,2024-04-26,2022-10-24,False,RRQVIO06P24G113Q
GC992LA,Hyundai,Elantra,2021-03-24,2025-09-27,False,RRQFLV06R09G113H
HQ947CX,Ford,Mustang,2024-12-24,2025-05-04,False,RRQYNN03S18G113I
AK299IE,Mazda,Mazda3,2023-04-14,2025-12-21,False,RRQPQN04L16G113A
UI945MY,Ford,Focus,2023-09-27,2025-05-19,False,RRQRSM04R13G113D
AS346PU,Toyota,Yaris,2024-01-24,2025-03-05,False,PRSRST98S21A326R
BD270VB,Mazda,CX-5,2021-11-10,2024-09-30,False,PRSLRC00H26A326I
MH489AP,Honda,Accord,2023-07-15,2025-03-06,False,PRSRST99P26A326Y
KW880HA,Honda,Accord,2021-03-24,2025-03-30,False,PRSJCP00L18A326G
WY322SG,Honda,Civic,2023-08-22,2025-02-10,False,FLNGDN96E15B745Z
TX088TR,Chevrolet,Malibu,2024-06-08,2024-10-03,False,DMCCST93M08F839K
RB864ML,Toyota,Corolla,2023-01-01,2025-08-10,False,DMCSNT93A12F839E
FH564RF,Honda,CR-V,2021-06-02,2025-06-29,False,DMCPLL91P18F839R
VG960US,Jeep,Compass,2022-11-17,2025-03-22,False,DMCTTN90A30F839O
XD948JT,Volkswagen,Passat,2023-02-08,2025-07-17,False,DMCDRN92P26F839J
DN136GH,Renault,Mégane,2022-10-23,2025-06-14,True,CLACTN96M03F537G
HD218RS,Kia,Ceed,2024-02-13,2025-01-31,False,CLALND96P15F537D
YQ154RO,Volkswagen,Passat,2024-06-11,2025-03-18,False,CLARSR95C09F537X
IK666QT,Toyota,Corolla,2024-12-23,2025-04-29,False,CLALFA98P04F537Q
RQ415UV,Kia,Sportage,2023-06-08,2025-08-07,False,CLALRZ94T07F537Z
UH805HT,Mercedes-Benz,Classe E,2024-06-03,2025-05-06,False,CLARNI95E14F537P
QJ240OO,Ford,Fiesta,2023-11-12,2025-02-07,False,CLATLL94P09F537I
EF719KP,Hyundai,Elantra,2023-04-17,2025-01-09,True,PRSGMN98R13D205F
VU447UL,Honda,Civic,2023-09-22,2025-02-01,False,PRSCML98R14D205B
RB665BH,Subaru,Impreza,2024-06-14,2025-12-13,False,SGRNTL97E25E290F
VX069DE,BMW,Serie 3,2023-03-23,2025-09-17,False,SGRFTM98D11E290J
BL374NI,Nissan,Micra,2024-04-30,2025-10-22,False,BSCSLD91M03L483A
GJ549VU,Kia,Rio,2023-01-13,2025-01-16,False,BSCVLM91H06L483T
KH337UH,Chevrolet,Camaro,2024-11-05,2025-08-10,False,BSCCTL93L06L483Y
KF137UI,Peugeot,3008,2024-06-26,2025-03-13,False,TLOSLL93P28A345L
DD361PU,Hyundai,Sonata,2023-04-04,2025-05-30,False,TLOMRT89M09A345K
QQ194RR,Jeep,Renegade,2023-02-13,2025-02-14,False,TLOMCL89T08A345T
FC339AA,Audi,A3,2023-08-02,2025-11-08,False,TLOCGR92M13A345N
PX297AQ,Volkswagen,Passat,2023-02-07,2025-08-15,False,TLOPPN90R22A345X
LA258ET,Chevrolet,Silverado,2023-10-13,2025-04-18,False,TLORMO93P30A345K
EF321XX,Kia,Sportage,2024-05-24,2025-04-03,False,CRNLRA92M27A783X
NV260XR,BMW,Serie 3,2023-06-14,2025-10-03,False,ZNCBSL89P07B429Q
JN633RS,Jeep,Renegade,2023-03-14,2025-07-08,False,ZNCPNG91P18B429E
JM685HP,Nissan,X-Trail,2023-10-26,2022-04-04,False,ZNCVCN88T27B429R
DC269LU,Mazda,Mazda3,2023-11-17,2023-12-20,False,ZNCLND89A09B429C
SZ069DD,Mazda,Mazda3,2022-08-05,2025-04-14,False,ZNCPMP91B05B429B
TL928LZ,Volvo,XC90,2021-01-07,2025-05-22,False,BIAPPN93S06A794W
SE279FF,Chevrolet,Malibu,2024-02-07,2025-04-09,False,BIAVTI92H09A794S
OG919EX,Hyundai,Sonata,2023-07-20,2025-09-07,False,BIAMRN90E23A794M
MK180NX,Fiat,Panda,2023-08-20,2025-12-01,False,BIAYLN92D23A794U
QR572YQ,Ford,Fiesta,2022-04-25,2025-01-08,False,BIAFDL93B15A794B
OH531LI,Jeep,Compass,2023-05-25,2025-10-14,False,RRQDRD91R26G113C
QW922QU,Peugeot,3008,2024-10-28,2025-08-18,False,RRQCSG92P09G113I
CR815SX,Honda,Accord,2024-07-09,2025-05-15,False,RRQRSR91R26G113I
MY692XJ,Hyundai,Tucson,2024-05-15,2025-02-18,False,CLLDLE99S16E506R
QA374UX,Kia,Sorento,2024-05-02,2025-02-26,False,CLLDLB00A22E506R
TL859LG,Volvo,S60,2023-06-11,2025-01-15,False,SLLSLM95R01D122B
QK325KA,Mercedes-Benz,Classe E,2023-07-02,2025-05-23,False,SLLLNE94B12D122Z
QI297XU,Subaru,Impreza,2023-08-11,2025-12-26,False,ZNCGFR98P15H163N
YY213PM,Nissan,Qashqai,2022-03-24,2025-11-25,False,ZNCGCM97L29H163J
JW611NI,BMW,X5,2023-03-28,2025-07-15,False,TLOLCA95D25A285W
RQ579LR,Honda,Accord,2022-12-18,2025-07-16,False,TLOZRA98D21A285D
JV604YI,BMW,Serie 5,2024-02-23,2025-03-16,False,DMCVVN00R07A662Q
SH244ZT,Peugeot,308,2022-11-01,2025-04-27,False,DMCPRZ02L26A662S
UQ029VS,Jeep,Wrangler,2023-02-11,2025-05-16,False,DMCSFN02C18A662S
PY176TO,Volkswagen,Golf,2024-12-20,2025-12-28,False,DMCFRZ01E19A662R
YG116HB,Alfa Romeo,Giulietta,2023-02-17,2025-12-06,False,DMCMRO01T26A662N
BR422PP,Toyota,Land Cruiser,2022-03-28,2025-01-30,False,DMCDVD02P01A662U
KT149AF,Nissan,Micra,2023-03-01,2025-03-08,False,SGRLLL00C22D969M
SK117TU,Peugeot,308,2024-07-20,2025-09-01,False,CLAFPP00M30G942V
IP365EQ,Audi,A3,2024-01-09,2025-03-19,False,CLAVTR00S04G942X
CQ697WY,Chevrolet,Camaro,2022-04-23,2024-04-24,False,CLAGZZ99D26G942F
KU509FS,Hyundai,Sonata,2024-09-19,2025-09-07,False,ZNCVGN98T05H163K
TD692QD,BMW,Serie 5,2024-05-11,2025-06-10,False,ZNCSLL02C04H163H
MO051GE,Mercedes-Benz,Classe E,2024-11-06,2025-09-23,False,ZNCBGD01P16H163X
PB949QW,BMW,X5,2024-08-15,2024-11-22,False,BIASDR89L28A794J
EO050LB,Hyundai,Tucson,2023-03-30,2025-09-21,False,BIAPRZ89P01A794T
SD944FJ,Volvo,S60,2024-07-16,2025-01-10,True,BIAVLI92D01A794D
HC689RX,Volkswagen,Polo,2024-01-21,2025-11-02,False,BIARSL89D24A794A
IM157DE,Fiat,Punto,2024-10-31,2025-11-04,False,BIASFN90D23A794V
OQ324KN,Audi,Q5,2022-04-05,2025-03-10,False,ZRZVLR90D14L328A
LX193XP,Volvo,S60,2023-01-08,2025-08-01,False,ZRZLLL92C14L328K
VF598BR,Kia,Rio,2022-05-03,2022-05-25,False,ZRZLSN91S22L328X
IR951VG,Volkswagen,Polo,2023-10-28,2025-08-21,False,ZRZLLE88S23L328N
PQ271NC,Volkswagen,Passat,2023-04-01,2025-08-24,False,ZRZLEO90R12L328P
QL047EL,Kia,Sorento,2024-03-18,2025-04-06,False,ZRZMCL91C22L328I
QV957FB,Peugeot,208,2024-03-22,2025-11-11,False,FLNTRS94T12D223V
SV010NT,Peugeot,208,2024-10-15,2025-04-07,False,FLNVTR97D15D223G
TR485RR,Kia,Sorento,2024-02-04,2025-11-22,False,FLNBNC94P03D223P
PT170RJ,BMW,X5,2023-05-10,2025-01-08,False,FLNDFN98H01D223G
CK572CV,Fiat,Punto,2024-02-10,2025-04-24,False,FLNFNC95B16D223A
WX626UE,Renault,Clio,2023-03-31,2024-04-07,False,SGRSMN96C12E290C
AY039AL,Kia,Sportage,2024-11-04,2025-12-12,False,SGRLSS96S30E290Z
PO568BX,Mercedes-Benz,Classe A,2024-08-25,2022-08-30,False,SGRGRG98A16E290H
YT389QY,Toyota,Yaris,2024-11-16,2025-05-05,False,SGRNLT98D11E290O
ER188FG,Renault,Clio,2021-01-29,2025-05-04,False,SGRQRN96E22E290V
WI137BP,Mazda,CX-5,2024-10-21,2025-06-26,False,CLLDLE02L27B180P
TU430GM,Chevrolet,Camaro,2023-12-05,2025-07-27,False,CLLLRD01R29B180H
FT482CC,Peugeot,208,2024-09-14,2025-12-04,False,CLLBBR99A02B180G
PH031SX,Honda,Civic,2023-12-04,2025-05-15,False,CLLLNR02C26B180Z
TK967BG,Mazda,Mazda3,2024-05-04,2025-03-08,False,CLLPIO02D01B180K
IY797YN,Volvo,XC90,2023-06-26,2025-07-07,False,CLLLRD01B07B180T
SQ384MA,Mercedes-Benz,Classe A,2024-08-24,2025-01-20,False,CLLLRC00A01B180B
HF248TG,Hyundai,Sonata,2022-01-28,2025-10-29,False,CLLVSS01C06B180Z
IB929PZ,BMW,X5,2022-07-28,2025-07-19,False,PRSLNI94A15D205C
LI290XD,BMW,X5,2024-09-06,2025-11-10,False,PRSCLD97S25D205N
CB975HV,Volvo,XC90,2024-02-02,2025-02-13,False,PRSRNN98L20D205J
HT255GH,Renault,Mégane,2024-03-26,2022-06-09,False,BIALRG91R01I829K
RW291ZX,BMW,Serie 5,2024-08-06,2025-07-19,False,BIAGLI90A29I829S
KM709BL,Chevrolet,Malibu,2024-05-19,2025-07-11,False,BIACSR91E18I829L
DE726FZ,Honda,CR-V,2023-08-14,2024-01-29,False,ZRZBRC91R11L328O
LV182FH,Peugeot,3008,2024-09-21,2022-08-31,False,ZRZDLE93M30L328D
UX315XV,Ford,Focus,2023-10-22,2025-08-05,False,ZRZNLN89E02L328S
BX432MK,Toyota,Yaris,2023-01-11,2025-03-19,False,ZRZSDR89P08L328M
