cf,name,last_name,birthdate,gender,birthplace,residence,gen1,gen2,partner_of
GSTTMS51S19G713Z,Tommasina,Agosto,1951-11-19,F,PISTOIA,CARRARA,,,VNNNNZ39A12D612S
MTTNTS49C16E281W,Anastasia,Mattu,1949-03-16,F,IGLESIAS,ORISTANO,,,CHNGRT56D20E281H
CRMFNC53R05G702C,Francesca,Cirami,1953-10-05,F,PISA,PISA,,,GNLTMS50D10F979H
FRTRCC49H01A794I,Rocco,Fraternali,1949-06-01,M,BERGAMO,BERGAMO,,,NSNSTN47E14A794R
CTPVIO50H28F052S,Ivo,Catapani,1950-06-28,M,MATERA,MATERA,,,LNTDNL44L05G942B
PLZSDR49L19B745C,Sandro,Polizzi,1949-07-19,M,CARBONIA,ORISTANO,,,RSOVTT49C30F023D
TMMSLD50E21D086Q,Osvaldo,Tumminelli,1950-05-21,M,COSENZA,COSENZA,,,CPRDRT49M23D086A
TRMLSN50B06A089N,Alessandro,Tramacere,1950-02-06,M,AGRIGENTO,AGRIGENTO,,,RCLNTS43P12H163W
BSTRMN52H02H282M,Romana,Busetti,1952-06-02,F,RIETI,RIETI,,,VBIDCC49R31F023G
TRQMRN49P20G702S,Mariano,Tarquinio,1949-09-20,M,PISA,LUCCA,,,DZRNRO56C13G702F
ZFFRLA49D02B519Y,Aurelio,Zaffarana,1949-04-02,M,CAMPOBASSO,ISERNIA,,,CDRMRM60R28B519Y
CRLGST52R03L500O,Egisto,Ceraldo,1952-10-03,M,URBINO,PERUGIA,,,TSSFDN51B27A390P
BRGLRD50T13F979N,Alfredo,Borgatello,1950-12-13,M,NUORO,AREZZO,,,MRTDLR62S29F979X
GRRRNN53P20E507Q,Ermanna,Guarracini,1953-09-20,F,LECCO,LECCO,,,CRLDRN40M23E507Q
PTRFBN48T02G113U,Fabiana,Pietramale,1948-12-02,F,ORISTANO,ORISTANO,,,TCEVTI58M05B354M
NSTGST49D08E472C,Giusto,Nistico,1949-04-08,M,LATINA,FERMO,,,RCCCSM51T24E472B
LBRLIO51T10G482L,Iole,Labriola,1951-12-10,F,PESCARA,FOGGIA,,,RMLRCC55S20E506J
MLLBDT50P08E335S,Benedetto,Milello,1950-09-08,M,ISERNIA,CAMPOBASSO,,,CSTGTR54T16E335S
GRMRRA50M05G273O,Aurora,Gremigni,1950-08-05,F,PALERMO,PALERMO,,,RSTTBO58M30G273L
ZCCGGN50E22H224M,Gigino,Zaccardino,1950-05-22,M,REGGIO DI CALABRIA,CATANZARO,,,CRPMRZ56P09H224G
FBBSIA53P17D205F,Isa,Fabbi,1953-09-17,F,CUNEO,SALERNO,,,CDLSLV59M05D205Z
MRGTTO49P28M082J,Totò,Murgia,1949-09-28,M,VITERBO,VITERBO,,,NCLVLI58P12D810J
MRTBGI52D09E281D,Biagio,Marturana,1952-04-09,M,IGLESIAS,IGLESIAS,,,CRTMND57P26E281Y
SNGVND52L14B832L,Vanda,Sangervasi,1952-07-14,F,CARRARA,PESARO,,,SPRTDD53M08D612L
FSSRNI49R21E335N,Irene,Fassina,1949-10-21,F,ISERNIA,TRANI,,,BNMSDR42H01B429E
VNNNNZ39A12D612S,Nunzio,Venanzi,1939-01-12,M,FIRENZE,CARRARA,,,GSTTMS51S19G713Z
CHNGRT56D20E281H,Gioberto,Chiaino,1956-04-20,M,IGLESIAS,ORISTANO,,,MTTNTS49C16E281W
GNLTMS50D10F979H,Tommaso,Gianolli,1950-04-10,M,NUORO,PISA,,,CRMFNC53R05G702C
NSNSTN47E14A794R,Santina,Ansione,1947-05-14,F,BERGAMO,BERGAMO,,,FRTRCC49H01A794I
LNTDNL44L05G942B,Daniela,Lonati,1944-07-05,F,POTENZA,MATERA,,,CTPVIO50H28F052S
RSOVTT49C30F023D,Vanetta,Orsi,1949-03-30,F,MASSA,ORISTANO,,,PLZSDR49L19B745C
CPRDRT49M23D086A,Dorotea,Ceparano,1949-08-23,F,COSENZA,COSENZA,,,TMMSLD50E21D086Q
RCLNTS43P12H163W,Anastasia,Ercoles,1943-09-12,F,RAGUSA,AGRIGENTO,,,TRMLSN50B06A089N
VBIDCC49R31F023G,Duccio,Vibi,1949-10-31,M,MASSA,RIETI,,,BSTRMN52H02H282M
DZRNRO56C13G702F,Nora,Dezorzi,1956-03-13,F,PISA,LUCCA,,,TRQMRN49P20G702S
CDRMRM60R28B519Y,Miriam,Cedri,1960-10-28,F,CAMPOBASSO,ISERNIA,,,ZFFRLA49D02B519Y
TSSFDN51B27A390P,Ferdinanda,Tassi,1951-02-27,F,AREZZO,PERUGIA,,,CRLGST52R03L500O
MRTDLR62S29F979X,Addolorata,Mertini,1962-11-29,F,NUORO,AREZZO,,,BRGLRD50T13F979N
CRLDRN40M23E507Q,Adriano,Cirilla,1940-08-23,M,LECCO,LECCO,,,GRRRNN53P20E507Q
TCEVTI58M05B354M,Vito,Teci,1958-08-05,M,CAGLIARI,ORISTANO,,,PTRFBN48T02G113U
RCCCSM51T24E472B,Cosima,Ricchitelli,1951-12-24,F,LATINA,FERMO,,,NSTGST49D08E472C
