cf,name,last_name,birthdate,gender,city,gen1,gen2,partner_of
TRDLEO44S21A390M,Leo,Turdo,1944-11-21,M,AREZZO,,,GRNGRZ52S09A390A
GCNNNZ47A10E506Q,Nunzio,Giocondo,1947-01-10,M,LECCE,,,BRBLND37C30A285W
DMNGTN45T15A662K,Giustino,De Munda,1945-12-15,M,BARI,,,SPNDLD48L16E335R
FLECLL46B27F158J,Camillo,Feola,1946-02-27,M,MESSINA,,,FRNRNL55R20G273W
DRNLRA47A26E506Z,Laura,D'Oronzo,1947-01-26,F,LECCE,,,MRNLRD57E30E506M
LNZFTN48B25L781K,Fortunato,Lionzo,1948-02-25,M,VERONA,,,CRLLNE46T09A757U
BNNGGR48D19A859G,Gregorio,Benincasa,1948-04-19,M,BIELLA,,,RLNVCN47D07L750W
LBRJCP48L11E715V,Jacopo,Alberani,1948-07-11,M,LUCCA,,,GDNSAI44P06G999X
SMNGBR48S13L117D,Gilberto,Simonitto,1948-11-13,M,TERNI,,,LNULRA37M27G478O
LSODFN47C02D643N,Dafne,Losio,1947-03-02,F,FOGGIA,,,TRCCCL46P14L328R
CRSLNE46T02H501T,Eliana,Carsani,1946-12-02,F,ROMA,,,SMPLLE52D05F023S
BRNGSI48C05A326S,Giosuè,Brancatisano,1948-03-05,M,AOSTA,,,RSPCLN46A31A326N
FRNRSO46B28G224V,Rosa,Fiorentina,1946-02-28,F,PADOVA,,,DNTPQN47D23G224S
CNZCRL48E09G273E,Carola,Caenazzo,1948-05-09,F,PALERMO,,,CSLNNE47L27G273Y
CMATNZ44A07B963S,Terenzio,Caim,1944-01-07,M,CASERTA,,,VSPMND43S28B963Q
GRNGRZ52S09A390A,Grazia,Grandolfi,1952-11-09,F,AREZZO,,,TRDLEO44S21A390M
BRBLND37C30A285W,Linda,Barbazzi,1937-03-30,F,ANDRIA,,,GCNNNZ47A10E506Q
SPNDLD48L16E335R,Adelaide,Spinelli,1948-07-16,F,ISERNIA,,,DMNGTN45T15A662K
FRNRNL55R20G273W,Reginella,Franzinelli,1955-10-20,F,PALERMO,,,FLECLL46B27F158J
MRNLRD57E30E506M,Leonardo,Amarino,1957-05-30,M,LECCE,,,DRNLRA47A26E506Z
CRLLNE46T09A757U,Eliana,Carlin,1946-12-09,F,BELLUNO,,,LNZFTN48B25L781K
RLNVCN47D07L750W,Vincenzina,Orlandini,1947-04-07,F,VERCELLI,,,BNNGGR48D19A859G
GDNSAI44P06G999X,Asia,Godini,1944-09-06,F,PRATO,,,LBRJCP48L11E715V
LNULRA37M27G478O,Laura,Uliano,1937-08-27,F,PERUGIA,,,SMNGBR48S13L117D
TRCCCL46P14L328R,Cecilio,Trucco,1946-09-14,M,TRANI,,,LSODFN47C02D643N
SMPLLE52D05F023S,Lelio,Semplice,1952-04-05,M,MASSA,,,CRSLNE46T02H501T
RSPCLN46A31A326N,Carolina,Rispola,1946-01-31,F,AOSTA,,,BRNGSI48C05A326S
DNTPQN47D23G224S,Pasquino,Donati,1947-04-23,M,PADOVA,,,FRNRSO46B28G224V
CSLNNE47L27G273Y,Ennio,Casolari,1947-07-27,M,PALERMO,,,CNZCRL48E09G273E
VSPMND43S28B963Q,Miranda,Vespi,1943-11-28,F,CASERTA,,,CMATNZ44A07B963S
TRDDAA73L27A390Y,Ada,Turdo,1973-07-27,F,AREZZO,TRDLEO44S21A390M,GRNGRZ52S09A390A,CMABRM68C27B963R
TRDCLL72D24A390F,Achille,Turdo,1972-04-24,M,AREZZO,TRDLEO44S21A390M,GRNGRZ52S09A390A,SMPMSM72H17H501H
TRDQRN73D07A390G,Quirino,Turdo,1973-04-07,M,AREZZO,TRDLEO44S21A390M,GRNGRZ52S09A390A,CMAVLI65M16B963K
TRDVRN69M05A390W,Valeriana,Turdo,1969-08-05,F,AREZZO,TRDLEO44S21A390M,GRNGRZ52S09A390A,SMNFNN65L26L117W
TRDRCL71B14A390M,Ercole,Turdo,1971-02-14,M,AREZZO,TRDLEO44S21A390M,GRNGRZ52S09A390A,
GCNGLD65T10E506O,Gildo,Giocondo,1965-12-10,M,LECCE,GCNNNZ47A10E506Q,BRBLND37C30A285W,TRCDTT68S12D643M
GCNNNI65A03E506I,Nino,Giocondo,1965-01-03,M,LECCE,GCNNNZ47A10E506Q,BRBLND37C30A285W,CSLMMM67T25G273P
DMNBGD65H17A662J,Brigida,De Munda,1965-06-17,F,BARI,DMNGTN45T15A662K,SPNDLD48L16E335R,CSLNNI68E19G273R
DMNVLR68B07A662R,Valerio,De Munda,1968-02-07,M,BARI,DMNGTN45T15A662K,SPNDLD48L16E335R,SMNLVO65C10L117F
MRNDRN75P10E506I,Adriana,Amarino,1975-09-10,F,LECCE,DRNLRA47A26E506Z,MRNLRD57E30E506M,CSLCLD67H16G273M
MRNPNI74P22E506F,Pina,Amarino,1974-09-22,F,LECCE,DRNLRA47A26E506Z,MRNLRD57E30E506M,SMNVSC67S14L117W
MRNCTN77H09E506W,Costanzo,Amarino,1977-06-09,M,LECCE,DRNLRA47A26E506Z,MRNLRD57E30E506M,CMAVNC67A18B963J
MRNFLV75S06E506K,Fulvio,Amarino,1975-11-06,M,LECCE,DRNLRA47A26E506Z,MRNLRD57E30E506M,LBRMLD64L24E715X
MRNRSO75E18E506Z,Rosa,Amarino,1975-05-18,F,LECCE,DRNLRA47A26E506Z,MRNLRD57E30E506M,CMAMRN67C17B963B
LNZRND64R30L781R,Rolando,Lionzo,1964-10-30,M,VERONA,LNZFTN48B25L781K,CRLLNE46T09A757U,CSLVRN67D16G273J
LNZTLI64L10L781C,Italia,Lionzo,1964-07-10,F,VERONA,LNZFTN48B25L781K,CRLLNE46T09A757U,SMPBGI73D18H501O
BNNCSN66R03A859L,Cassandra,Benincasa,1966-10-03,F,BIELLA,BNNGGR48D19A859G,RLNVCN47D07L750W,CSLPLG64E31G273E
BNNLPA65E03A859Y,Lapo,Benincasa,1965-05-03,M,BIELLA,BNNGGR48D19A859G,RLNVCN47D07L750W,CSLLLN66E13G273O
BNNNTN64M14A859J,Antonio,Benincasa,1964-08-14,M,BIELLA,BNNGGR48D19A859G,RLNVCN47D07L750W,SMPLNI70C23H501N
BNNLNS68R11A859D,Alfonso,Benincasa,1968-10-11,M,BIELLA,BNNGGR48D19A859G,RLNVCN47D07L750W,DNTRCE64L15G224P
LBRCLL68R19E715O,Catello,Alberani,1968-10-19,M,LUCCA,LBRJCP48L11E715V,GDNSAI44P06G999X,TRCDNC65A30D643L
LBRSVR67L22E715W,Saverio,Alberani,1967-07-22,M,LUCCA,LBRJCP48L11E715V,GDNSAI44P06G999X,CMADLE65H29B963U
LBRSDR65D17E715F,Isidoro,Alberani,1965-04-17,M,LUCCA,LBRJCP48L11E715V,GDNSAI44P06G999X,DNTSDR64B13G224V
LBRMLA66A13E715Q,Amelia,Alberani,1966-01-13,F,LUCCA,LBRJCP48L11E715V,GDNSAI44P06G999X,CSLMRC66C19G273S
LBRMLD64L24E715X,Matilde,Alberani,1964-07-24,F,LUCCA,LBRJCP48L11E715V,GDNSAI44P06G999X,MRNFLV75S06E506K
LBRNRN64R19E715B,Andreina,Alberani,1964-10-19,F,LUCCA,LBRJCP48L11E715V,GDNSAI44P06G999X,CMAMRZ66S05B963O
SMNRST68H26L117W,Ernesto,Simonitto,1968-06-26,M,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,TRCJSC68M29D643W
SMNSRG66R01L117E,Sergia,Simonitto,1966-10-01,F,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,CSLLRD65B06G273F
SMNFNN65L26L117W,Fernando,Simonitto,1965-07-26,M,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,TRDVRN69M05A390W
SMNLVO65C10L117F,Oliva,Simonitto,1965-03-10,F,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,DMNVLR68B07A662R
SMNTDD65L31L117Z,Taddeo,Simonitto,1965-07-31,M,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,CMALRI65D10B963F
SMNCSS67P07L117R,Cassio,Simonitto,1967-09-07,M,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,
SMNTMR68A31L117Y,Tamara,Simonitto,1968-01-31,F,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,SMPMRZ70P25H501X
SMNRND67H05L117J,Orlando,Simonitto,1967-06-05,M,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,
SMNLSS64B10L117F,Alessia,Simonitto,1964-02-10,F,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,CMARRT64D11B963U
SMNVSC67S14L117W,Vasco,Simonitto,1967-11-14,M,TERNI,SMNGBR48S13L117D,LNULRA37M27G478O,MRNPNI74P22E506F
TRCRTD64P18D643L,Aristide,Trucco,1964-09-18,M,FOGGIA,LSODFN47C02D643N,TRCCCL46P14L328R,DNTMSM66M13G224J
TRCJSC68M29D643W,Jessica,Trucco,1968-08-29,F,FOGGIA,LSODFN47C02D643N,TRCCCL46P14L328R,SMNRST68H26L117W
TRCFDN65H28D643S,Ferdinanda,Trucco,1965-06-28,F,FOGGIA,LSODFN47C02D643N,TRCCCL46P14L328R,DNTBLD64C29G224H
TRCDNC65A30D643L,Domenica,Trucco,1965-01-30,F,FOGGIA,LSODFN47C02D643N,TRCCCL46P14L328R,LBRCLL68R19E715O
TRCGRG65T11D643Q,Giorgio,Trucco,1965-12-11,M,FOGGIA,LSODFN47C02D643N,TRCCCL46P14L328R,SMPPLA69H13H501L
TRCDTT68S12D643M,Diletta,Trucco,1968-11-12,F,FOGGIA,LSODFN47C02D643N,TRCCCL46P14L328R,GCNGLD65T10E506O
SMPMRZ70P25H501X,Maurizio,Semplice,1970-09-25,M,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,SMNTMR68A31L117Y
SMPGDU69S10H501O,Guido,Semplice,1969-11-10,M,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,BRNVNN65H05A326J
SMPBGI73D18H501O,Biagio,Semplice,1973-04-18,M,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,LNZTLI64L10L781C
SMPPLA69H13H501L,Paola,Semplice,1969-06-13,F,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,TRCGRG65T11D643Q
SMPLNI70C23H501N,Lina,Semplice,1970-03-23,F,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,BNNNTN64M14A859J
SMPMSM72H17H501H,Massima,Semplice,1972-06-17,F,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,TRDCLL72D24A390F
SMPVVN70L23H501R,Viviano,Semplice,1970-07-23,M,ROMA,CRSLNE46T02H501T,SMPLLE52D05F023S,BRNNLT65H17A326W
BRNVNN65H05A326J,Vanna,Brancatisano,1965-06-05,F,AOSTA,BRNGSI48C05A326S,RSPCLN46A31A326N,SMPGDU69S10H501O
BRNNLT65H17A326W,Nicoletta,Brancatisano,1965-06-17,F,AOSTA,BRNGSI48C05A326S,RSPCLN46A31A326N,SMPVVN70L23H501R
BRNRLA68B17A326T,Aurelio,Brancatisano,1968-02-17,M,AOSTA,BRNGSI48C05A326S,RSPCLN46A31A326N,CMAPLN68H17B963N
DNTBDT66T26G224F,Benedetta,Donati,1966-12-26,F,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,CSLCLL65D06G273H
DNTTVN65E31G224A,Ottaviano,Donati,1965-05-31,M,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,
DNTRCE64L15G224P,Erica,Donati,1964-07-15,F,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,BNNLNS68R11A859D
DNTMSM66M13G224J,Massima,Donati,1966-08-13,F,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,TRCRTD64P18D643L
DNTBLD64C29G224H,Ubaldo,Donati,1964-03-29,M,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,TRCFDN65H28D643S
DNTGST66H28G224W,Augusta,Donati,1966-06-28,F,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,CSLDNC68C13G273J
DNTSDR64B13G224V,Sandra,Donati,1964-02-13,F,PADOVA,FRNRSO46B28G224V,DNTPQN47D23G224S,LBRSDR65D17E715F
CSLNNI68E19G273R,Nino,Casolari,1968-05-19,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,DMNBGD65H17A662J
CSLCLL65D06G273H,Achille,Casolari,1965-04-06,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,DNTBDT66T26G224F
CSLLRD65B06G273F,Alfredo,Casolari,1965-02-06,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,SMNSRG66R01L117E
CSLVRN67D16G273J,Valeriana,Casolari,1967-04-16,F,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,LNZRND64R30L781R
CSLMMM67T25G273P,Mimma,Casolari,1967-12-25,F,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,GCNNNI65A03E506I
CSLDNC68C13G273J,Domenico,Casolari,1968-03-13,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,DNTGST66H28G224W
CSLLLN66E13G273O,Liliana,Casolari,1966-05-13,F,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,BNNLPA65E03A859Y
CSLCLD67H16G273M,Cataldo,Casolari,1967-06-16,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,MRNDRN75P10E506I
CSLMRC66C19G273S,Americo,Casolari,1966-03-19,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,LBRMLA66A13E715Q
CSLPLG64E31G273E,Pellegrino,Casolari,1964-05-31,M,PALERMO,CNZCRL48E09G273E,CSLNNE47L27G273Y,BNNCSN66R03A859L
CMAMRN67C17B963B,Marino,Caim,1967-03-17,M,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,MRNRSO75E18E506Z
CMAMRZ66S05B963O,Maurizio,Caim,1966-11-05,M,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,LBRNRN64R19E715B
CMAVNC67A18B963J,Veronica,Caim,1967-01-18,F,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,MRNCTN77H09E506W
CMABRM68C27B963R,Abramo,Caim,1968-03-27,M,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,TRDDAA73L27A390Y
CMARRT64D11B963U,Roberto,Caim,1964-04-11,M,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,SMNLSS64B10L117F
CMAVLI65M16B963K,Viola,Caim,1965-08-16,F,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,TRDQRN73D07A390G
CMALRI65D10B963F,Ilaria,Caim,1965-04-10,F,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,SMNTDD65L31L117Z
CMAPLN68H17B963N,Paolina,Caim,1968-06-17,F,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,BRNRLA68B17A326T
CMADLE65H29B963U,Delia,Caim,1965-06-29,F,CASERTA,CMATNZ44A07B963S,VSPMND43S28B963Q,LBRSVR67L22E715W
CMARNN90C17B963R,Ermanno,Caim,1990-03-17,M,CASERTA,CMABRM68C27B963R,TRDDAA73L27A390Y,TRCYLO83T22D643U
CMAFNC93L02B963J,Franco,Caim,1993-07-02,M,CASERTA,CMABRM68C27B963R,TRDDAA73L27A390Y,SMNBNL87H24L117D
CMADLZ91R25B963A,Diocleziano,Caim,1991-10-25,M,CASERTA,CMABRM68C27B963R,TRDDAA73L27A390Y,BNNRGR89H08A859J
CMAGRL90B23B963E,Gabriele,Caim,1990-02-23,M,CASERTA,CMABRM68C27B963R,TRDDAA73L27A390Y,CSLSRA86R07G273Y
CMATTN92L12B963C,Ottone,Caim,1992-07-12,M,CASERTA,CMABRM68C27B963R,TRDDAA73L27A390Y,BRNDLN86M28A326P
CSLLFA84C03G273H,Alfio,Casolari,1984-03-03,M,PALERMO,CSLNNI68E19G273R,DMNBGD65H17A662J,SMPVTR93S03H501M
SMNLGR98B15L117D,Allegra,Simonitto,1998-02-15,F,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,MRNPRI94L17E506J
SMNCSM97A20L117B,Cosima,Simonitto,1997-01-20,F,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,TRCMTN90E05D643R
SMNBRT94P08L117S,Berta,Simonitto,1994-09-08,F,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,SMPBLD89R02H501S
SMNGTN96S17L117H,Giustiniano,Simonitto,1996-11-17,M,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,CSLRLN88D01G273Q
SMNRRT95M17L117X,Roberto,Simonitto,1995-08-17,M,TERNI,SMNVSC67S14L117W,MRNPNI74P22E506F,TRDVNN90B01A390A
